nct_id,overall_status,plan_to_share_ipd,plan_to_share_ipd_description,study_type,phase,study_first_submitted_date,official_title,enrollment,enrollment_type,primary_completion_month_year,primary_completion_date_type
NCT00865475,Completed,NA,NA,Interventional,Phase 4,2009-03-18,A Randomized Comparative Clinical Trial of ZDV + 3TC + ABC (Trizivir) vs Monotherapy With Lopinavir/R (Kaletra) in Patients With Viral Suppression on Previous Treatment With ZDV + 3TC + ABC (Trizivir) for Preventing Lipoatrophy,38,Actual,March 2013,Actual
NCT00865007,Completed,NA,NA,Interventional,Phase 4,2009-03-18,"A Phase IV-III Comparative, Randomized, Open-label Study to Evaluate the Efficacy for the Recovery of Peripheral Fat (or of the Extremities) of Lopinavir/Ritonavir in Monotherapy Versus Abacavir/Lamivudine and Lopinavir/Ritonavir",88,Actual,June 2012,Actual
NCT00864916,Completed,NA,NA,Interventional,Phase 2,2009-03-17,"A Randomized, Placebo-Controlled Trial of Pentoxifylline Plus Combination ART vs. Combination ART Alone to Improve Endothelial Dysfunction in HIV-Infected Patients",19,Actual,December 2012,Actual
NCT00863668,Withdrawn,NA,NA,Interventional,N/A,2009-03-16,Decay Kinetics of HIV With the Integrase Inhibitor Raltegravir,0,Actual,March 2010,Anticipated
NCT00863057,Completed,NA,NA,Interventional,Phase 2,2009-03-16,"A Phase II, Randomized, Double-Blind, Placebo-Controlled Study of Duloxetine and Methadone for the Treatment of HIV-Associated Painful Peripheral Neuropathy",15,Actual,December 2010,Actual
NCT00860977,Completed,NA,NA,Interventional,Phase 3,2009-03-11,VALacyclovir In Delaying Antiretroviral Treatment Entry,202,Actual,August 2015,Actual
NCT00860769,Completed,NA,NA,Interventional,Phase 1/Phase 2,2009-03-11,ASHA HIV Health Promotion Intervention in India,68,Actual,March 2011,Actual
NCT00859677,Completed,NA,NA,Observational,NA,2009-03-10,Immunologic Predisposition of HIV Patients to Develop Methicillin-Resistant Staphylococcus Aureus (MRSA) Colonization and Infection,52,Actual,November 2010,Actual
NCT00859144,Completed,NA,NA,Interventional,Phase 3,2009-03-06,Community Partnerships to Prevent Urban Youth Health Risks (CHAMPions),901,Actual,March 2012,Actual
NCT00858962,Completed,NA,NA,Interventional,N/A,2009-03-06,A Study of the Pharmacokinetic and Pharmacodynamic Interactions Between Raltegravir (Isentress) and Buprenorphine,12,Actual,December 2009,Actual
NCT00858923,Unknown status,NA,NA,Interventional,Phase 1,2009-03-06,Phase 1 Study of the HemoModulator System for the Treatment of Human Immunodeficiency Virus (HIV),10,Actual,July 2009,Anticipated
NCT00858793,Completed,NA,NA,Interventional,Phase 1/Phase 2,2009-03-09,High-dose Chemotherapy With Transplantation of Gene-modified Haematopoietic Stem Cells for HIV-positive Patients With Malignant Diseases Indicating an HSCT,5,Actual,"August 31, 2016",Actual
NCT00857298,Completed,NA,NA,Interventional,N/A,2009-03-04,Effect of Diet-induced Weight Loss on HIV-associated Metabolic Syndrome,20,Actual,July 2014,Actual
NCT00857350,Completed,NA,NA,Observational,NA,2009-03-04,The Prevalence of HIV Drug Resistance and Transmission Risk in Opioid Agonist Treatment,60,Actual,June 2010,Actual
NCT00856154,Completed,NA,NA,Interventional,Phase 1,2009-03-03,Vaccination With Autologous Dendritic Cells Pulsed With HIV-Antigens for Treatment of Patients With Chronic HIV-Infection. Phase I Trial,12,Actual,April 2008,Actual
NCT00855413,Terminated,NA,NA,Interventional,Phase 4,2009-03-02,CID 0821 - Pilot Study to Evaluate HIV Viremia and Persistence in Acutely HIV-Infected Antiretroviral NaÃ¯ve Patients Treated With Darunavir/Ritonavir and Etravirine,15,Actual,November 2013,Actual
NCT00855335,Completed,NA,NA,Interventional,Phase 3,2009-03-02,"A Single Arm, Open Label Study to Assess the Pharmacokinetics of Darunavir and Ritonavir, Darunavir and Cobicistat, Etravirine, and Rilpivirine in HIV-1 Infected Pregnant Women",77,Actual,"August 11, 2016",Actual
NCT00849823,Completed,NA,NA,Interventional,N/A,2009-02-23,"A Brief, Clinic-Based, HIV Prevention Program for African American Teen Males",840,Anticipated,September 2013,Actual
NCT00855088,Completed,NA,NA,Interventional,Phase 1,2009-03-02,"A Phase IV, Open Label Study in Healthy Male Subjects to Investigate the Extent of Darunavir/Ritonavir and Etravirine Exposure in Blood, Seminal Fluid, and Rectal Mucosal Tissue Following Single and Multiple Dosing of Darunavir/Ritonavir and Etravirine",13,Actual,February 2010,Actual
NCT00855062,Terminated,NA,NA,Interventional,Phase 1/Phase 2,2009-03-02,Minocycline in the Treatment of HIV-Associated Cognitive Impairment in Uganda,73,Actual,December 2009,Actual
NCT00854230,Withdrawn,NA,NA,Interventional,Phase 4,2009-03-02,Pharmacotherapy for HIV Infected Patients With Alcohol Problems,0,Actual,January 2010,Actual
NCT00852618,Completed,NA,NA,Observational,NA,2009-02-26,Intensive Viral Dynamics Substudy of A5248,11,Actual,NA,NA
NCT00851799,Completed,NA,NA,Observational,NA,2009-02-24,"Cardiovascular, Anthropometric, and Skeletal Effects of Antiretroviral Therapy (ART) Initiation With Emtricitabine/Tenofovir Disoproxil Fumarate (FTC/TDF) Plus Atazanavir/Ritonavir (ATV/r), Darunavir/Ritonavir (DRV/r), or Raltegravir (RAL): Metabolic Substudy of A5257",334,Actual,June 2013,Actual
NCT00851786,Completed,NA,NA,Interventional,Phase 2,2009-02-25,"A Phase II, Randomized, Double-Blind, Placebo-Controlled Clinical Trial to Evaluate the Safety, Tolerability, and Immunogenicity of ZOSTAVAXÂ® (Zoster Vaccine Live) in Human Immunodeficiency Virus (HIV)-1-Infected Adults on Potent Combination ART With Conserved Immune Function",395,Actual,"September 22, 2011",Actual
NCT00851630,Completed,NA,NA,Interventional,Phase 4,2009-02-25,"A Pilot Study Of Open-Label Fixed Dose Combination Zidovudine/Lamivudine/Abacavir In HIV-Infected Persons With Tuberculosis In Moshi, Tanzania; Tuberculosis And HIV Immune Reconstitution Syndrome Trial (THIRST)",70,Actual,September 2007,Actual
NCT00851539,Completed,NA,NA,Interventional,N/A,2009-02-25,Educational Effectiveness of an HIV Pretest Video for Adolescents: A Randomized Controlled Trial,200,Actual,November 2008,Actual
NCT00851383,Completed,NA,NA,Interventional,Phase 1,2009-02-24,"A Phase I Placebo-controlled, Double-blinded (in Terms of Vaccine or Placebo), Randomized Dose-escalation Trial to Evaluate the Safety and Immunogenicity of Ad35-GRIN/ENV HIV Vaccine in Healthy Adult Volunteers. (IAVI B001)",56,Actual,August 2011,Actual
NCT00850837,Completed,NA,NA,Interventional,Phase 1,2009-02-24,Safety of Acidform Lubricant (Amphora) in Women at Low Risk for HIV-1 Infection,35,Actual,NA,NA
NCT00850616,Completed,NA,NA,Interventional,Phase 1,2009-02-24,"A Phase I Dose Ranging Study of the Safety, Tolerability, and Immunogenicity of a 3-Dose Regimen of the MRKAd5 HIV-1 Trigene and the MRKAd6 HIV-1 Trigene Vaccines Alone and in Combination in Healthy Adults",147,Actual,August 2006,Actual
NCT00849732,Completed,NA,NA,Interventional,Phase 1,2009-02-20,"A Worldwide, Phase I, Dose-Escalating Study of Safety, Tolerability, and Immunogenicity of a 3-Dose Regimen of the MRKAd5 HIV-1 Gag Vaccine in Healthy Adults",360,Actual,October 2006,Actual
NCT00849680,Completed,NA,NA,Interventional,Phase 1,2009-02-20,"A Phase I Dose-Ranging Study of the Safety, Tolerability, and Immunogenicity of the Merck Trivalent Adenovirus Serotype 5 HIV-1 Gag/Pol/Nef Vaccine (MRKAd5 HIV-1 Gag/Pol/Nef) in a Prime-Boost Regimen in Healthy Adults",317,Actual,March 2005,Actual
NCT00849160,Completed,NA,NA,Interventional,Phase 3,2009-02-20,"Non-comparative, Opened Study, Evaluating in HIV-1 Infected Patients With Undetectable Viral Load, Treated by an Antiretroviral Combination Including a Protease Inhibitor Boosted With Ritonavir and Administered by Oral Route Twice a Day, the Substitutability of the Current Protease Inhibitor Regimen by the Association Darunavir/Ritonavir 800/100 mg Once a Day to Maintain the Viral Load Under the 50 Copies/ml Limit of Detection After 24 Weeks of Treatment.",100,Actual,June 2011,Actual
NCT00848211,Completed,NA,NA,Interventional,Phase 1/Phase 2,2009-02-13,Phase I/IIA Clinical Study of TUTI-16 in Asymptomatic HIV-1 Infected Subjects,24,Actual,May 2010,Actual
NCT00846599,Completed,NA,NA,Observational,NA,2009-02-17,Postprandial Endothelial Dysfunction After a High-Fat Meal in HIV-infected Men,50,Anticipated,January 2010,Actual
NCT00845676,Completed,NA,NA,Interventional,Phase 4,2009-02-17,Treatment of Acute Hepatitis C Virus in HIV Co-Infection,21,Actual,December 2010,Actual
NCT00845013,"Active, not recruiting",NA,NA,Observational,NA,2009-02-13,Epidemiology and Pathogenesis of HIV-Associated Pulmonary Hypertension,125,Anticipated,June 2019,Anticipated
NCT00844519,Completed,NA,NA,Interventional,Phase 3,2009-02-13,NA,52,Actual,December 2012,Actual
NCT00843713,Completed,NA,NA,Interventional,Phase 4,2009-02-12,"A Randomized, Controlled Trial Assessing the Effects of Raltegravir Intensification on Endothelial Function in Treated HIV Infection",56,Actual,November 2013,Actual
NCT00843661,Unknown status,NA,NA,Interventional,Phase 4,2009-02-12,"Coadministration of Ezetimibe With Fenofibrate Versus Pravastatin Monotherapy for the Treatment of Hyperlipidaemia in HIV-infected Patients Receiving Protease Inhibitors: a Randomized, Prospective, Controlled Pilot Study.",60,Anticipated,December 2011,Anticipated
NCT00841711,Completed,NA,NA,Interventional,N/A,2009-02-10,Transitions: Linkages From Jail to Community,127,Actual,August 2012,Actual
NCT00841477,Completed,NA,NA,Interventional,Phase 3,2009-02-10,An Hepatitis B Vaccine Model for HIV Vaccine Trials in Drug Users,1260,Actual,June 2007,Actual
NCT00841360,Completed,NA,NA,Observational,NA,2009-02-09,A Pilot Study to Identify Undiagnosed Asymptomatic HIV Infections in Adolescent and Young Adult Women,535,Actual,June 2010,Actual
NCT00840905,Completed,NA,NA,Observational,NA,2009-02-10,A Pilot Observational Study to Determine the Prevalence of HPV Serology in HIV Seropositive Women From Subsaharan Africa and Brasil,487,Actual,March 2010,Actual
NCT00840762,Unknown status,NA,NA,Interventional,Phase 4,2009-02-09,A Randomized Comparison of VircoÂ®TYPE HIV-1 Testing Versus Expert Interpretation of Genotypic Results for Control of HIV-1 Replication,756,Anticipated,February 2012,Anticipated
NCT00840658,Completed,NA,NA,Interventional,Phase 2,2009-02-07,Epidemiologic Study on Changing HIV Risks Among FSW-IDUs on the Mexico-US Border,584,Actual,July 2011,Actual
NCT00838292,Completed,NA,NA,Interventional,N/A,2009-02-03,"Randomized Controlled Evaluation of the Impact of Food Supplements on Malnourished HIV-Infected Adult ART Clients and Malnourished, HIV-Infected Pre-ART Adults in Kenya",1049,Actual,June 2008,Actual
NCT00838162,Completed,NA,NA,Interventional,Phase 2,2009-02-05,"A Phase IIa, Open-label, Randomized Trial in Treatment-naive HIV-1-infected Subjects to Determine the Antiviral Activity of 14 Days of Monotherapy With 4 Different Dose Regimens of TMC310911 Coadministered With Ritonavir",33,Actual,August 2009,Actual
NCT00836550,Completed,NA,NA,Interventional,N/A,2009-02-03,An RCT to Evaluate the Effectiveness of an Emergency Department Based Multimedia HIV Testing Model in Adolescents,200,Actual,December 2008,Actual
NCT00836290,Completed,NA,NA,Interventional,N/A,2009-02-02,Positive Lifestyles Using Safety,90,Actual,August 2010,Actual
NCT00836212,Unknown status,NA,NA,Interventional,Phase 4,2009-02-03,Adjusting Antiretroviral Therapy Dosage Using Therapeutic Drug Monitoring,12,Anticipated,April 2009,Anticipated
NCT00833781,Completed,NA,NA,Interventional,Phase 1/Phase 2,2009-01-29,"A Pilot, Double-blind, Placebo-controlled, Randomized Clinical Trial of mRNA-transfected Autologous Dendritic Cells in Subjects With Well-controlled Chronic HIV-1 Infection on Highly Active Antiretroviral Therapy",15,Actual,December 2013,Actual
NCT00833482,Completed,NA,NA,Interventional,Phase 1,2009-01-30,Study to Assess the Pharmacokinetic Drug - Drug Interactions Between Atazanavir Plus Ritonavir Coadministered With Voriconazole in Healthy Subjects,185,Actual,July 2010,Actual
NCT00830856,Completed,NA,NA,Interventional,N/A,2009-01-27,Randomized Control Trial of Early vs Delayed ART in the Treatment of Cryptococcal Meningitis.,54,Actual,October 2008,Actual
NCT00830622,Completed,NA,NA,Interventional,N/A,2009-01-26,A Targeted Cell Phone Intervention to Improve Patient Access to Care and Drug Adherence in Patients Taking Antiretroviral (ARV) Medications in Kenya,536,Actual,December 2009,Actual
NCT00829114,Completed,NA,NA,Interventional,Phase 4,2009-01-16,Interactions Between Antiretrovirals and Combined Oral Contraceptive Pills,370,Anticipated,April 2011,Actual
NCT00827112,Completed,NA,NA,Interventional,Phase 2,2009-01-21,Pilot Study Of Novel Combination Of Maraviroc + Atazanavir/Ritonavir vs. Atazanavir/Ritonavir + Emtricitabine/Tenofovir For The Treatment Of NaÃ¯ve HIV-Infected Patients With R5 HIV-1,129,Actual,July 2010,Actual
NCT00826345,Completed,NA,NA,Interventional,N/A,2009-01-21,Patient-Oriented TCM Intervention for DSP in HIV: A Pilot Study,20,Actual,June 2009,Actual
NCT00825929,Recruiting,NA,NA,Observational,NA,2009-01-19,Study on Pharmacokinetics of Newly Developed ANtiretroviral Agents in HIV-infected pregNAnt Women (PANNA),176,Anticipated,December 2020,Anticipated
NCT00823966,Completed,NA,NA,Observational,NA,2009-01-14,Drug Use Investigation For Rescriptor (Regulatory Post Marketing Commitment Plan),3,Actual,March 2009,Actual
NCT00823927,Unknown status,NA,NA,Observational,NA,2009-01-15,Alveolar Macrophage Proteomics in HIV-associated Emphysema,365,Actual,December 2015,Anticipated
NCT00822315,Completed,NA,NA,Interventional,Phase 2,2009-01-13,"Phase II Open-label Randomized Multicenter Trial to Compare the Efficacy and Safety of Two Different Doses of Raltegravir and Efavirenz, All in Combination With Tenofovir and Lamivudine, in Naive HIV-1-infected Patients Receiving Rifampin for Active Tuberculosis",155,Actual,November 2011,Actual
NCT00821847,Completed,NA,NA,Observational,NA,2009-01-13,Markers of Glomerular Filtration Rate in the HIV Infected Patient - Role of Body Composition,45,Actual,March 2012,Actual
NCT00821535,Completed,NA,NA,Interventional,Phase 1,2009-01-12,An Open Label Single Dose Study To Investigate Safety And Pharmacokinetics Of Maraviroc Following A Single Oral Dose Of 300 Mg Maraviroc (Two 150 Mg Maraviroc Commercial Tablets) Under Fasting Conditions In Healthy Male Japanese Volunteers,12,Actual,May 2009,Actual
NCT00821366,Unknown status,NA,NA,Interventional,Phase 3,2009-01-12,Effective Aids Treatment and Support in the Free State (FEATS): Adherence and Nutritional Support for Effective and Sustainable Antiretroviral Treatment in Resource Constrained Settings,648,Actual,December 2009,Anticipated
NCT00820846,Completed,NA,NA,Interventional,Phase 2,2009-01-08,"A Phase 2a Clinical Trial to Evaluate the Safety and Immunogenicity of a Prime-boost Vaccine Regimen of pGA2/JS7 DNA and MVA/HIV62, in Healthy, HIV Uninfected Vaccinia-naive Adult Participants",299,Actual,August 2012,Actual
NCT00820118,Completed,NA,NA,Interventional,Phase 2,2009-01-08,"ARNS 141 TIPI : A Pilot Trial to Assess the Ability of an Intermittent Antiretroviral Therapy in Maintaining an Immunological Stability in Antiretroviral naÃ¯ve HIV Infected Adults, With CD4 Count Above 500/mm3",45,Actual,May 2012,Actual
NCT00819390,Completed,NA,NA,Interventional,Phase 2,2009-01-08,"A Phase II, Double Blind, Randomized, Exploratory Study of Chloroquine for Reducing HIV-Associated Immune Activation",70,Actual,February 2013,Actual
NCT00819052,Completed,NA,NA,Interventional,Phase 3,2009-01-07,"An Open Label, Phase IIIb, Randomised Parallel Group Study to Assess the Efficacy and Safety of Switching HIV-1 Infected Patients Successfully Treated With a Nevirapine IR Based Regiment to Nevirapine XR 400 mg QD or Remaining on Nevirapine IR 200 mg BID Based Program",445,Actual,January 2012,Actual
NCT00817765,Completed,NA,NA,Interventional,Phase 1,2008-12-24,Pharmacokinetic Study of Posaconazole Boosted Fosamprenavir,24,Anticipated,July 2009,Actual
NCT00817713,Terminated,NA,NA,Interventional,N/A,2009-01-05,Can Anthelminthic Treatment Delay the Progression of HIV? Randomised Open-label Trial Testing Presumptive Anthelminthic Treatment on Progression of HIV in ART-naÃ¯ve HIV-positive Patients in a Rural African Setting With Presumed High Prevalence of Helminth Infections.,295,Actual,September 2010,Actual
NCT00816842,Completed,NA,NA,Observational,NA,2009-01-02,Plasma Citrulline as Quantitative Biomarker of HIV Associate Villous Atrophy in a Tropical Enteropathy Population,NA,NA,May 2008,Actual
NCT00814879,Completed,NA,NA,Interventional,N/A,2008-12-18,"A Pilot Randomized, Open-Label Study Comparing the Safety and Efficacy of a Raltegravir Based NRTI Sparing Regimen",60,Actual,May 2013,Actual
NCT00812318,Completed,NA,NA,Interventional,Phase 1,2008-09-05,"A Single Dose, Randomized Study to Assess the Relative Bioavailability of Two Formulations and Food Effect on GSK1265744 in Healthy Male and Female Subjects",45,Actual,August 2008,Actual
NCT00811954,Completed,NA,NA,Interventional,Phase 3,2008-12-18,"The ARDENT Study: Atazanavir, Raltegravir, or Darunavir With Emtricitabine/Tenofovir for Naive Treatment",1814,Actual,June 2013,Actual
NCT00811421,Completed,NA,NA,Interventional,N/A,2008-12-18,Evaluation of the Safety and Efficacy of Mefloquine as Intermittent Preventive Treatment of Malaria in Pregnancy,5820,Actual,December 2012,Actual
NCT00810446,"Active, not recruiting",NA,NA,Observational,NA,2008-12-17,Drug Use Investigation For Hiv Infection Patients Of Mycobutin (Regulatory Post Marketing Commitment Plan).,500,Anticipated,"July 17, 2018",Anticipated
NCT00810108,Completed,NA,NA,Interventional,Phase 4,2008-12-15,Pharmacokinetics of Lopinavir Crushed Versus Whole Tablets in Pediatric Patients,12,Actual,May 2009,Actual
NCT00808002,Completed,NA,NA,Interventional,Phase 3,2008-12-12,Efficacy of Treatment Intensification With Maraviroc on HIV-1 Viral Latency in Recently Infected Hiv-1 naÃ¯ve Patients Starting Raltegravir Plus Tenofovir/Emtricitabine.,30,Actual,November 2011,Actual
NCT00807625,Completed,NA,NA,Interventional,Phase 2,2008-12-11,Mucosal and Systemic Responses to Contraceptives in HIV-Infected Women in Zambia,66,Actual,July 2010,Actual
NCT00807443,Completed,NA,NA,Interventional,Phase 2,2008-12-11,Pilot Study Of The Effect Of An Integrase Inhibitor On The Latency And Reservoir Of HIV-1 In Patients Taking Highly Active Antiretroviral Therapy,10,Actual,December 2011,Actual
NCT00806845,Completed,NA,NA,Observational,NA,2008-12-10,Gewinnung Humaner antikÃ¶rperproduzierender Zellen Aus Dem Blut,50,Actual,December 2009,Actual
NCT00796146,Recruiting,NA,NA,Observational,NA,2008-11-21,NA,536,Anticipated,April 2019,Anticipated
NCT00805857,Withdrawn,NA,NA,Observational,NA,2008-06-10,SCOLTA: SURVEILLANCE COHORT LONG-TERM TOXICITY ANTIRETROVIRALS,150,Anticipated,December 2009,Anticipated
NCT00802802,Completed,NA,NA,Interventional,Phase 1,2008-12-04,Dose-Finding and Pharmacogenetic Study of Efavirenz in HIV-infected and HIV/TB Co-infected Infants and Children 3 Months to Less Than 36 Months of Age,155,Anticipated,March 2016,Actual
NCT00801879,Completed,NA,NA,Interventional,Phase 4,2008-12-03,Intranasal Mupirocin to Eliminate Carriage of Staphylococcus Aureus in HIV Infection,100,Actual,April 2006,Actual
NCT00801697,Completed,NA,NA,Interventional,Phase 1,2008-12-02,"A Phase 1B Clinical Trial to Evaluate the Safety and Immunogenicity of Recombinant Adenoviral Subtype 35 (rAd35) and Subtype 5 (rAd5) HIV-1 Vaccines When Given as a Heterologous Prime-boost Regimen or as Boosts to a Recombinant DNA Vaccine in Healthy, Ad5-NaÃ¯ve and Ad5-Exposed, Low Risk, HIV-1 Uninfected Adult Participants",192,Actual,February 2011,Actual
NCT00799136,Completed,NA,NA,Interventional,Phase 2,2008-11-26,Feasibility Study of CO-administering Combination Antiretroviral Therapy (cART) and R-EPOCH Chemotherapy for the Management of Acquired Immunodeficiency Syndrome (AIDS)-Related Lymphoma,6,Actual,December 2012,Actual
NCT00797381,Unknown status,NA,NA,Observational,NA,2008-11-24,"A Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety, Tolerability of MK-0518 in Treatment-Experienced HIV-1 Infected Adult Patients With Hemophilia",100,Anticipated,October 2010,Anticipated
NCT00797030,Unknown status,NA,NA,Interventional,Phase 4,2008-11-21,Topical Cyclosporine for the Treatment of Dry Eye in Patients Infected With the Human Immunodeficiency Virus,20,Actual,July 2008,Anticipated
NCT00795717,Completed,NA,NA,Interventional,Phase 4,2008-11-19,"Human Immunodeficiency Virus (HIV), Arterial Dysfunction, Lipids, Lovaza (HALO) Trial",41,Actual,October 2010,Actual
NCT00795483,Completed,NA,NA,Interventional,Phase 4,2008-11-20,Efficacy and Security of Annual and Biennial Zoledronic Acid for Osteoporosis Treatment in an HIV-infected Patients' Cohort,33,Actual,November 2011,Actual
NCT00792519,Completed,NA,NA,Interventional,Phase 1,2008-11-17,Alcohol & HIV in Kenya: Stage 1 Trial of a Peer-Led Alcohol Behavior Intervention,75,Actual,December 2009,Actual
NCT00789789,Terminated,NA,NA,Observational,NA,2008-11-10,Cohort Study of Volunteers That Have Participated to Preventive HIV-1 Vaccine Trials,488,Actual,September 2016,Actual
NCT00789009,Recruiting,NA,NA,Observational,NA,2008-11-08,Clinical and Immunologic Monitoring of Patients With Known or Suspected HIV Infection,600,Anticipated,NA,NA
NCT00787774,Unknown status,NA,NA,Interventional,N/A,2008-11-07,Integrase Resistance Analysis in Treated Experienced HIV Patients Who Interrupted Raltegravir Due to Incomplete Viral Suppression,20,Anticipated,January 2010,Anticipated
NCT00787696,Completed,NA,NA,Interventional,Phase 1/Phase 2,2008-11-06,HIV Risk Reduction Among Young Incarcerated Females,333,Actual,December 2008,Actual
NCT00785967,Withdrawn,NA,NA,Interventional,Phase 3,2008-11-04,Immune Responses to Neo-Antigens in Patients Treated With Raltegravir: Insights on V(D)J Recombination and RAG-1/2 Recombinase Function,0,Actual,August 2011,Actual
NCT00785616,Completed,NA,NA,Interventional,Phase 4,2008-11-04,A Trial to Determine the Long-term Durability of Virologic Suppression in Kaletra Recipients With Imperfect Adherence,55,Anticipated,August 2009,Actual
NCT00783614,Terminated,NA,NA,Interventional,Phase 2,2008-10-31,The Effect of Aspirin and Antiretroviral Therapy on Cardiovascular Risk in HIV Infected Patients: A Pilot Study,22,Actual,January 2010,Actual
NCT00782808,Completed,NA,NA,Observational,NA,2008-10-29,NA,60,Actual,January 2014,Actual
NCT00782301,Withdrawn,NA,NA,Interventional,Phase 4,2008-10-29,"A Multicenter, Randomized, Open, Comparative Trial Of Maraviroc Versus Etravirine Each In Combination With Darunavir/Ritonavir And Raltegravir For The Treatment Of Antiretroviral-Experienced HIV-1 Subjects Co-Infected With Hepatitis C And/Or Hepatitis B",0,Actual,February 2010,Actual
NCT00781287,Terminated,NA,NA,Interventional,Phase 4,2008-10-24,"Impact of Raltegravir (Isentress/MK-0518) - Containing Regimens on HIV-1 Infected CD4+ T-Cells During Acute and Early HIV-1 Infection: A Randomized, Controlled Study Comparing Standard Antiretroviral Therapy to Standard Therapy Plus Raltegravir",10,Actual,February 2012,Actual
NCT00777426,Completed,NA,NA,Observational,NA,2008-10-21,NA,60,Actual,June 2013,Actual
NCT00775606,Terminated,NA,NA,Interventional,Phase 4,2008-10-17,A Phase 4 Study of the Effect on Immune Reconstitution of a Lopinavir/Ritonavir-Based Versus an Efavirenz-based HAART (Highly Active Antiretroviral Therapy) Regimen in Antiretroviral-NaÃ¯ve Subjects With Advanced HIV Disease,15,Actual,December 2010,Actual
NCT00775424,Completed,NA,NA,Interventional,Phase 1,2008-10-17,A PHASE Ib PARTIALLY RANDOMIZED PILOT STUDY INTENDED TO EVALUATE THE SAFETY AND IMMUNOLOGICAL EFFECTS OF HIV-1 DNA IMMUNIZATION (PENNVAX-B) WITH OR WITHOUT CO-ADMINISTRATION OF CONSTRUCTS CONTAINING DNA ENCODING FOR THE EXPRESSION OF EITHER IL-12 OR IL-15 IN HIV INFECTED INDIVIDUALS,38,Actual,June 2010,Actual
NCT00774735,Completed,NA,NA,Interventional,Phase 1,2008-10-16,"A Phase I, Open Label, Randomized, Two Period, One-way Two Sequence Crossover Study to Evaluate the Effect of Darunavir/Ritonavir and Lopinavir/Ritonavir on GSK1349572 Pharmacokinetics in Healthy Adult Subjects (ING111405).",30,Actual,December 2008,Actual
NCT00774592,Completed,NA,NA,Interventional,N/A,2008-10-16,Adolescent Risk Reduction in the Bahamas-Peers and Parents,1360,Actual,December 2008,Actual
NCT00773708,Completed,NA,NA,Interventional,Phase 4,2008-10-14,Pilot Study to Assess the Role of Immune Activation and Apoptosis as a Marker for Treatment Intensification With Raltegravir in Hiv-infected Patients on Antiretroviral Therapy With Long-term Viral Suppression and Unfavourable Immunologic Response (Discordant Patients: v+i-),57,Actual,May 2011,Actual
NCT00772590,Completed,NA,NA,Interventional,Phase 4,2008-10-14,"Randomised Double-blind Placebo Controlled Study to Measure the Effect of Antiretroviral Therapy (ART) Intensification With Raltegravir and/or Hyper-immune Bovine Colostrum on CD4+ T Cell Count in ART Treated, HIV-1 Infected Individuals With Suboptimal CD4+ T Cell Responses",75,Actual,March 2010,Actual
NCT00771823,Completed,NA,NA,Interventional,Phase 1,2008-07-28,A Placebo Controlled Study of the Impact on Insulin Sensitivity and Lipid Profile of Maraviroc 300 mg Twice Daily in HIV Negative Male Volunteers,16,Actual,November 2008,Actual
NCT00771498,Completed,NA,NA,Interventional,Phase 4,2008-10-10,"An Evaluation of the Pharmacological Interaction of Lopinavir 800mg - Ritonavir 200mg Combination and Rifampin in Subjects Presenting Tuberculosis, With Contraindication for Antiretroviral Regimens Including Efavirenz",30,Actual,December 2012,Actual
NCT00767312,Enrolling by invitation,NA,NA,Observational,NA,2008-10-06,Analysis of HIV-1 Replication During Antiretroviral Therapy,43,Actual,NA,NA
NCT00766597,Completed,NA,NA,Interventional,Phase 1/Phase 2,2008-10-03,"Phase I/II Open-Label Study to Evaluate the PK, Safety, Tolerability and Antiviral Activity of Vicriviroc, a Novel CCR5 Antagonist in Combination Regimens in HIV-Infected ART Experienced Children and Adolescents",9,Actual,July 2010,Actual
NCT00763295,Completed,NA,NA,Observational,NA,2008-09-28,Is Tuberculin Skin Testing Effective in Screening for Latent Tuberculosis in Patients With HIV?,53,Actual,January 2010,Actual
NCT00762892,Completed,NA,NA,Interventional,Phase 4,2008-09-26,"A Pilot Study--randomized, Prospective, Single Site Trial Evaluating Raltegravir vs. Atazanavir in Combination With TruvadaÂ® for the Treatment of Antiretroviral naÃ¯ve HIV Infected Patients",33,Actual,December 2012,Actual
NCT00762320,Completed,NA,NA,Interventional,N/A,2008-09-29,Comparison of Liquid Kaletra and Low Dose Kaletra Tablets in HIV-Positive Children,8,Actual,July 2011,Actual
NCT00759070,Unknown status,NA,NA,Interventional,Phase 4,2008-09-23,Effects of 2 Initial Standard Antiretroviral Combinations Therapies on Lipid Metabolism in ARV-naive HIV-infected Subjects,50,Anticipated,July 2013,Anticipated
NCT00758212,Unknown status,NA,NA,Interventional,N/A,2008-09-23,"Influenza Vaccination at a Reduced Dose of 1:10 Using Mesotherapy in HIV/AIDS Patients at the Hadassah AIDS Center, Jerusalem",100,Anticipated,January 2009,Anticipated
NCT00757900,Completed,NA,NA,Interventional,Phase 4,2008-09-19,Efficacy of Influenza Vaccine in HIV Infected Adults,507,Actual,September 2008,Actual
NCT00757744,Completed,NA,NA,Interventional,Phase 3,2008-09-22,Behavioral Drug and HIV Risk Reduction Counseling in Methadone Patients in China,45,Actual,January 2010,Actual
