downcase_mesh_term,n,hiv_or_aids
lecithin cholesterol acyltransferase deficiency,2,
lentivirus infections,2,
"leprosy, lepromatous",2,
"leprosy, multibacillary",2,
lethargy,2,
linear iga bullous dermatosis,2,
"liver abscess, amebic",2,
"liver cirrhosis, experimental",2,
loiasis,2,
lymphangiectasis,2,
lymphangiomyoma,2,
"mammary neoplasms, animal",2,
mandibular neoplasms,2,
medial tibial stress syndrome,2,
mediastinal emphysema,2,
megalencephaly,2,
"melanoma, experimental",2,
"meningitis, fungal",2,
menkes kinky hair syndrome,2,
mercury poisoning,2,
microphthalmos,2,
"mixed tumor, malignant",2,
monckeberg medial calcific sclerosis,2,
morphine dependence,2,
mucocele,2,
"myoclonic epilepsies, progressive",2,
"myoclonic epilepsy, juvenile",2,
"myopathy, central core",2,
nasal septal perforation,2,
neglected diseases,2,
nelson syndrome,2,
"neoplasms, adnexal and skin appendage",2,
"neoplasms, experimental",2,
nevi and melanomas,2,
"nevus, sebaceous of jadassohn",2,
nose neoplasms,2,
onycholysis,2,
ophthalmia neonatorum,2,
optic disk drusen,2,
optic nerve neoplasms,2,
orbital cellulitis,2,
orbital diseases,2,
orbital pseudotumor,2,
"osteoarthropathy, primary hypertrophic",2,
otorhinolaryngologic neoplasms,2,
"paget's disease, mammary",2,
"paget disease, extramammary",2,
"papilloma, intraductal",2,
paraphilic disorders,2,
paronychia,2,
parotitis,2,
paroxysmal hemicrania,2,
"pemphigus, benign familial",2,
periodontal atrophy,2,
phosphorus metabolism disorders,2,
phyllodes tumor,2,
picornaviridae infections,2,
pilomatrixoma,2,
pityriasis rosea,2,
placenta diseases,2,
platelet storage pool deficiency,2,
platybasia,2,
polydactyly,2,
"polydipsia, psychogenic",2,
"polyendocrinopathies, autoimmune",2,
pre-excitation syndromes,2,
"pregnancy complications, cardiovascular",2,
prostatism,2,
proteus infections,2,
pulmonary veno-occlusive disease,2,
purpura fulminans,2,
pyruvate dehydrogenase complex deficiency disease,2,
pyuria,2,
radial neuropathy,2,
recurrent laryngeal nerve injuries,2,
relapsing fever,2,
"remission, spontaneous",2,
"renal tubular transport, inborn errors",2,
"retinal necrosis syndrome, acute",2,
retinal telangiectasis,2,
rhinoscleroma,2,
romano-ward syndrome,2,
rothmund-thomson syndrome,2,
salmonella food poisoning,2,
salter-harris fractures,2,
sebaceous gland diseases,2,
septo-optic dysplasia,2,
sex chromosome disorders of sex development,2,
sigmoid diseases,2,
"skin diseases, parasitic",2,
spermatic cord torsion,2,
spider bites,2,
spina bifida occulta,2,
spinal cord ischemia,2,
splenic rupture,2,
stupor,2,
subcutaneous emphysema,2,
sunstroke,2,
susac syndrome,2,
swayback,2,
synkinesis,2,
"tachycardia, paroxysmal",2,
tdp-43 proteinopathies,2,
tendon entrapment,2,
tick bites,2,
tooth resorption,2,
"translocation, genetic",2,
trematode infections,2,
trigeminal autonomic cephalalgias,2,
trigeminal nerve injuries,2,
"trophoblastic tumor, placental site",2,
"tuberculosis, lymph node",2,
"tuberculosis, miliary",2,
ulnar nerve compression syndromes,2,
ureaplasma infections,2,
urethral diseases,2,
urinary bladder calculi,2,
urticaria pigmentosa,2,
vesicular stomatitis,2,
vestibulocochlear nerve diseases,2,
vitamin k deficiency,2,
"von willebrand disease, type 2",2,
"von willebrand disease, type 3",2,
water intoxication,2,
werner syndrome,2,
"xanthogranuloma, juvenile",2,
yang deficiency,2,
abnormal karyotype,1,
"abnormalities, drug-induced",1,
accessory nerve diseases,1,
acute febrile encephalopathy,1,
adams-stokes syndrome,1,
"adenocarcinoma, scirrhous",1,
"adenoma, acidophil",1,
"adenoma, basophil",1,
"adenoma, chromophobe",1,
ageusia,1,
akinetic mutism,1,
alcohol amnestic disorder,1,
alcohol withdrawal seizures,1,
alexander disease,1,
alphavirus infections,1,
ameloblastoma,1,
anaplasmosis,1,
"anemia, hemolytic, congenital",1,
"anemia, hypoplastic, congenital",1,
"anemia, megaloblastic",1,
"anemia, pernicious",1,
anetoderma,1,
angiolipoma,1,
angiolymphoid hyperplasia with eosinophilia,1,
angiomatosis,1,
anterior compartment syndrome,1,
anti-glomerular basement membrane disease,1,
anticholinergic syndrome,1,
anuria,1,
"aphasia, conduction",1,
"aphasia, wernicke",1,
aphonia,1,
apudoma,1,
"arthritis, experimental",1,
ascaridiasis,1,
"auditory diseases, central",1,
babesiosis,1,
bacteroides infections,1,
balanitis xerotica obliterans,1,
balkan nephropathy,1,
bartonella infections,1,
beta-mannosidosis,1,
bilateral vestibulopathy,1,
bipolar and related disorders,1,
bird fancier's lung,1,
"bites, human",1,
bland white garland syndrome,1,
bloom syndrome,1,
bone malalignment,1,
bordetella infections,1,
brachial plexus neuropathies,1,
brachydactyly,1,
bronchial fistula,1,
bronchomalacia,1,
bronchopneumonia,1,
"bulbar palsy, progressive",1,
"burns, electric",1,
cafe-au-lait spots,1,
callosities,1,
carbuncle,1,
carcinoid heart disease,1,
"carcinoma, basosquamous",1,
"carcinoma, skin appendage",1,
"cardiomyopathy, alcoholic",1,
carotid-cavernous sinus fistula,1,
carotid artery injuries,1,
carotid artery thrombosis,1,
catastrophic illness,1,
cecal diseases,1,
cecal neoplasms,1,
central nervous system bacterial infections,1,
"cerebral hemorrhage, traumatic",1,
chancre,1,
chilblains,1,
childhood-onset fluency disorder,1,
"cholesteatoma, middle ear",1,
choristoma,1,
chromosome duplication,1,
ciguatera poisoning,1,
colonic pseudo-obstruction,1,
"coma, post-head injury",1,
composite lymphoma,1,
corneal wavefront aberration,1,
corynebacterium infections,1,
costello syndrome,1,
cri-du-chat syndrome,1,
crystal arthropathies,1,
degloving injuries,1,
"dendritic cell sarcoma, follicular",1,
"dendritic cell sarcoma, interdigitating",1,
dental deposits,1,
dental fissures,1,
dental leakage,1,
"dentin, secondary",1,
"dermatitis, occupational",1,
"diabetes mellitus, experimental",1,
diabetic coma,1,
diaphragmatic eventration,1,
"diastasis, bone",1,
disease resistance,1,
diseases in twins,1,
duane retraction syndrome,1,
duodenogastric reflux,1,
dysostoses,1,
"dyspnea, paroxysmal",1,
dystonia musculorum deformans,1,
"ear deformities, acquired",1,
earache,1,
eccrine porocarcinoma,1,
"eczema, dyshidrotic",1,
"elliptocytosis, hereditary",1,
ellis-van creveld syndrome,1,
encephalomalacia,1,
enophthalmos,1,
eosinophilia-myalgia syndrome,1,
epidermal cyst,1,
epididymitis,1,
epiglottitis,1,
eructation,1,
facial dermatoses,1,
facial neoplasms,1,
factor xii deficiency,1,
familial multiple lipomatosis,1,
favism,1,
felty syndrome,1,
"fibromatosis, abdominal",1,
"fibromatosis, plantar",1,
firesetting behavior,1,
"focal infection, dental",1,
follicular cyst,1,
fowlpox,1,
fraser syndrome,1,
frostbite,1,
gait ataxia,1,
gardner syndrome,1,
"gastritis, hypertrophic",1,
gilbert disease,1,
gingival neoplasms,1,
glanders,1,
gliosis,1,
glomus tumor,1,
glossitis,1,
glycogen storage disease type vi,1,
glycogen storage disease type viii,1,
"glycosuria, renal",1,
"gonadal dysgenesis, 46,xx",1,
granular cell tumor,1,
"granuloma, giant cell",1,
"granuloma, laryngeal",1,
gray platelet syndrome,1,
hallux varus,1,
hand-arm vibration syndrome,1,
"hearing loss, central",1,
"hearing loss, high-frequency",1,
heart aneurysm,1,
heart rupture,1,
hemobilia,1,
hemospermia,1,
hepadnaviridae infections,1,
herpes zoster oticus,1,
histiocytic necrotizing lymphadenitis,1,
"histiocytosis, non-langerhans-cell",1,
"histiocytosis, sinus",1,
"hyalinosis, systemic",1,
hyperekplexia,1,
hypergammaglobulinemia,1,
"hyperostosis, diffuse idiopathic skeletal",1,
hypertensive encephalopathy,1,
hypervitaminosis a,1,
"hypobetalipoproteinemia, familial, apolipoprotein b",1,
hypoglossal nerve diseases,1,
hypohidrosis,1,
hypoproteinemia,1,
hypoprothrombinemias,1,
hypothalamic neoplasms,1,
"ichthyosis, x-linked",1,
iga deficiency,1,
ileal diseases,1,
immune complex diseases,1,
incontinentia pigmenti,1,
"infarction, posterior cerebral artery",1,
inhalant abuse,1,
"insomnia, fatal familial",1,
intertrigo,1,
iris neoplasms,1,
isaacs syndrome,1,
isolated noncompaction of the ventricular myocardium,1,
jaw diseases,1,
kashin-beck disease,1,
keratoacanthoma,1,
"keratoderma, palmoplantar",1,
"keratoderma, palmoplantar, diffuse",1,
kidney cortex necrosis,1,
lafora disease,1,
leopard syndrome,1,
"leprosy, borderline",1,
"leukoplakia, hairy",1,
lichenoid eruptions,1,
liddle syndrome,1,
lightning injuries,1,
limbic encephalitis,1,
linitis plastica,1,
"lipomatosis, multiple symmetrical",1,
"liver neoplasms, experimental",1,
"lower extremity deformities, congenital",1,
"lung, hyperlucent",1,
"lysosomal storage diseases, nervous system",1,
macroglossia,1,
"malformations of cortical development, group ii",1,
malingering,1,
maple syrup urine disease,1,
mast-cell sarcoma,1,
maxillary diseases,1,
maxillary neoplasms,1,
maxillary sinus neoplasms,1,
mediastinal diseases,1,
megacolon,1,
melena,1,
melorheostosis,1,
meningocele,1,
mesial movement of teeth,1,
metatarsus varus,1,
microaneurysm,1,
microsporidiosis,1,
miller fisher syndrome,1,
mouth abnormalities,1,
mucinoses,1,
muir-torre syndrome,1,
multiple acyl coenzyme a dehydrogenase deficiency,1,
multiple sulfatase deficiency disease,1,
muscle neoplasms,1,
"muscular dystrophy, emery-dreifuss",1,
mushroom poisoning,1,
"myasthenia gravis, neonatal",1,
mycetoma,1,
myoglobinuria,1,
myokymia,1,
myosarcoma,1,
nail-patella syndrome,1,
nasopharyngeal diseases,1,
nasopharyngitis,1,
neisseriaceae infections,1,
"neoplasm regression, spontaneous",1,
"neoplasms, adipose tissue",1,
"neoplasms, multiple primary",1,
"neoplasms, radiation-induced",1,
"neoplasms, vascular tissue",1,
nesidioblastosis,1,
neurasthenia,1,
neuroacanthocytosis,1,
neuroaspergillosis,1,
neuroaxonal dystrophies,1,
neurocytoma,1,
neuroleptic malignant syndrome,1,
nevus of ota,1,
"nevus, blue",1,
newcastle disease,1,
"niemann-pick disease, type b",1,
night terrors,1,
nocturnal myoclonus syndrome,1,
nuchal cord,1,
obsessive behavior,1,
olivopontocerebellar atrophies,1,
oophoritis,1,
"optic atrophies, hereditary",1,
oral hemorrhage,1,
orchitis,1,
"osteoarthropathy, secondary hypertrophic",1,
palatal neoplasms,1,
pallister-hall syndrome,1,
"pancreatitis, graft",1,
"panniculitis, peritoneal",1,
papillon-lefevre disease,1,
paraneoplastic polyneuropathy,1,
"paraneoplastic syndromes, nervous system",1,
paraphimosis,1,
parental death,1,
parotid diseases,1,
passive-aggressive personality disorder,1,
pellagra,1,
"pericarditis, tuberculous",1,
peripheral nervous system neoplasms,1,
"peritonitis, tuberculous",1,
periventricular nodular heterotopia,1,
persistent hyperplastic primary vitreous,1,
pica,1,
piriformis muscle syndrome,1,
"plasma cell granuloma, pulmonary",1,
pneumocephalus,1,
"pneumonia, necrotizing",1,
polymicrogyria,1,
popliteal cyst,1,
porokeratosis,1,
postpartum thyroiditis,1,
poxviridae infections,1,
"pregnancy complications, hematologic",1,
"pregnancy complications, neoplastic",1,
"pregnancy, cornual",1,
"pregnancy, interstitial",1,
prenatal exposure delayed effects,1,
prolidase deficiency,1,
propofol infusion syndrome,1,
prosopagnosia,1,
prune belly syndrome,1,
pruritus vulvae,1,
pseudolymphoma,1,
pyelectasis,1,
pyruvate carboxylase deficiency disease,1,
reactive attachment disorder,1,
retrocochlear diseases,1,
retropharyngeal abscess,1,
rheumatoid nodule,1,
rheumatoid vasculitis,1,
"rubella syndrome, congenital",1,
rubinstein-taybi syndrome,1,
scheuermann disease,1,
"schizophrenia, catatonic",1,
scimitar syndrome,1,
scleredema adultorum,1,
sertoli cell-only syndrome,1,
sex chromosome disorders,1,
"sexually transmitted diseases, bacterial",1,
shellfish hypersensitivity,1,
"shock, surgical",1,
sialadenitis,1,
sialic acid storage disease,1,
"skin diseases, metabolic",1,
"skin diseases, vascular",1,
"skin diseases, viral",1,
sleep arousal disorders,1,
slow virus diseases,1,
smear layer,1,
social communication disorder,1,
space motion sickness,1,
specific learning disorder,1,
spermatocele,1,
sphenoid sinusitis,1,
spinal cord vascular diseases,1,
spinal osteochondrosis,1,
staghorn calculi,1,
steatitis,1,
stomatognathic system abnormalities,1,
struma ovarii,1,
"subarachnoid hemorrhage, traumatic",1,
subclavian steal syndrome,1,
subdural effusion,1,
sulfatidosis,1,
superinfection,1,
superior mesenteric artery syndrome,1,
superior vena cava syndrome,1,
sweat gland neoplasms,1,
"sweating, gustatory",1,
sweet syndrome,1,
symptom flare up,1,
"syphilis, congenital",1,
"syphilis, latent",1,
syringoma,1,
tabes dorsalis,1,
"tachycardia, ectopic junctional",1,
"tachycardia, reciprocating",1,
tarlov cysts,1,
"tay-sachs disease, ab variant",1,
teratogenesis,1,
tetrasomy,1,
thyroid dysgenesis,1,
"thyroiditis, subacute",1,
tibial meniscus injuries,1,
tibial neuropathy,1,
tinea versicolor,1,
tongue diseases,1,
tonsillar neoplasms,1,
tooth ankylosis,1,
tooth avulsion,1,
"tooth eruption, ectopic",1,
tooth migration,1,
"tooth, supernumerary",1,
toxocariasis,1,
tracheal neoplasms,1,
tracheobronchomegaly,1,
treponemal infections,1,
trichothiodystrophy syndromes,1,
tricuspid valve stenosis,1,
"truncus arteriosus, persistent",1,
tuberculoma,1,
"tuberculosis, central nervous system",1,
"tuberculosis, gastrointestinal",1,
"tuberculosis, osteoarticular",1,
"twins, conjoined",1,
typhlitis,1,
uniparental disomy,1,
urachal cyst,1,
uterine perforation,1,
uveal diseases,1,
vagus nerve diseases,1,
vagus nerve injuries,1,
vasa previa,1,
vascular fistula,1,
vein of galen malformations,1,
virilism,1,
visceral prolapse,1,
"von willebrand disease, type 1",1,
waardenburg syndrome,1,
walker-warburg syndrome,1,
"wasting disease, chronic",1,
whipple disease,1,
wolf-hirschhorn syndrome,1,
xyy karyotype,1,
yersinia infections,1,
yersinia pseudotuberculosis infections,1,
