COMPONENT,SYSTEM,SCALE,n2,codes,methods
Streptococcus pneumoniae Danish serotype 1 Ab^1st specimen,Ser,Qn,3,"85965-2,85966-0,85967-8",NA|IA|NA
Streptococcus pneumoniae Danish serotype 1 Ab^2nd specimen,Ser,Qn,3,"85968-6,85969-4,85970-2",NA|IA|NA
Streptococcus pneumoniae Danish serotype 10A Ab.IgG,Ser,Qn,2,"86098-1,86099-9",NA|IA
Streptococcus pneumoniae Danish serotype 10A Ab.IgG^1st specimen,Ser,Qn,2,"86100-5,86101-3",NA|IA
Streptococcus pneumoniae Danish serotype 10A Ab.IgG^2nd specimen,Ser,Qn,2,"86102-1,86103-9",NA|IA
Streptococcus pneumoniae Danish serotype 11A Ab.IgG,Ser,Qn,2,"86122-9,86123-7",NA|IA
Streptococcus pneumoniae Danish serotype 11A Ab.IgG^1st specimen,Ser,Qn,2,"86124-5,86125-2",NA|IA
Streptococcus pneumoniae Danish serotype 11A Ab.IgG^2nd specimen,Ser,Qn,2,"86126-0,86127-8",NA|IA
Streptococcus pneumoniae Danish serotype 12F Ab,Ser,Qn,2,"85971-0,85972-8",NA|NA
Streptococcus pneumoniae Danish serotype 12F Ab.IgG,Ser,Qn,4,"85974-4,85975-1,85976-9,85977-7",IA|NA|IA|NA
Streptococcus pneumoniae Danish serotype 12F Ab.IgG^1st specimen,Ser,Qn,3,"85978-5,85979-3,85980-1",NA|NA|IA
Streptococcus pneumoniae Danish serotype 12F Ab.IgG^2nd specimen,Ser,Qn,3,"85981-9,85982-7,85983-5",NA|NA|IA
Streptococcus pneumoniae Danish serotype 12F Ab^1st specimen,Ser,Qn,2,"85984-3,85985-0",NA|NA
Streptococcus pneumoniae Danish serotype 12F Ab^2nd specimen,Ser,Qn,2,"85986-8,85987-6",NA|NA
Streptococcus pneumoniae Danish serotype 14 Ab,Ser,Qn,2,"85989-2,85990-0",NA|NA
Streptococcus pneumoniae Danish serotype 14 Ab.IgG,Ser,Qn,4,"85991-8,85992-6,85993-4,85994-2",NA|IA|NA|IA
Streptococcus pneumoniae Danish serotype 14 Ab.IgG^1st specimen,Ser,Qn,3,"85995-9,85996-7,85997-5",IA|NA|NA
Streptococcus pneumoniae Danish serotype 14 Ab.IgG^2nd specimen,Ser,Qn,3,"85998-3,85999-1,86000-7",IA|NA|NA
Streptococcus pneumoniae Danish serotype 14 Ab^1st specimen,Ser,Qn,3,"86001-5,86002-3,86003-1",NA|IA|NA
Streptococcus pneumoniae Danish serotype 14 Ab^2nd specimen,Ser,Qn,3,"86004-9,86005-6,86006-4",NA|IA|NA
Streptococcus pneumoniae Danish serotype 14 Ab^2nd specimen/1st specimen,Ser,Qn,2,"86007-2,86008-0",IA|NA
Streptococcus pneumoniae Danish serotype 15B Ab.IgG,Ser,Qn,2,"40973-0,47356-1",NA|IA
Streptococcus pneumoniae Danish serotype 15B Ab.IgG^1st specimen,Ser,Qn,2,"47357-9,47501-2",IA|NA
Streptococcus pneumoniae Danish serotype 15B Ab.IgG^2nd specimen,Ser,Qn,2,"47346-2,47502-0",IA|NA
Streptococcus pneumoniae Danish serotype 17F Ab.IgG,Ser,Qn,2,"86009-8,86010-6",NA|IA
Streptococcus pneumoniae Danish serotype 17F Ab.IgG^1st specimen,Ser,Qn,2,"86011-4,86012-2",NA|IA
Streptococcus pneumoniae Danish serotype 17F Ab.IgG^2nd specimen,Ser,Qn,2,"86013-0,86014-8",NA|IA
Streptococcus pneumoniae Danish serotype 18C Ab,Ser,Qn,2,"13136-7,26755-9",NA|NA
Streptococcus pneumoniae Danish serotype 18C Ab.IgG,Ser,Qn,4,"17635-4,27395-3,40913-6,9611-5",NA|NA|IA|IA
Streptococcus pneumoniae Danish serotype 18C Ab.IgG^1st specimen,Ser,Qn,3,"30490-7,31647-1,40914-4",NA|NA|IA
Streptococcus pneumoniae Danish serotype 18C Ab.IgG^2nd specimen,Ser,Qn,3,"25289-0,30491-5,40912-8",NA|NA|IA
Streptococcus pneumoniae Danish serotype 18C Ab^1st specimen,Ser,Qn,2,"13157-3,27151-0",NA|NA
Streptococcus pneumoniae Danish serotype 18C Ab^2nd specimen,Ser,Qn,2,"13158-1,27121-3",NA|NA
Streptococcus pneumoniae Danish serotype 18F Ab.IgG,Ser,Qn,2,"86016-3,86017-1",NA|IA
Streptococcus pneumoniae Danish serotype 19A Ab.IgG,Ser,Qn,2,"40915-1,40974-8",IA|NA
Streptococcus pneumoniae Danish serotype 19A Ab.IgG^1st specimen,Ser,Qn,2,"40916-9,47503-8",IA|NA
Streptococcus pneumoniae Danish serotype 19A Ab.IgG^2nd specimen,Ser,Qn,2,"40917-7,47504-6",IA|NA
Streptococcus pneumoniae Danish serotype 19F Ab,Ser,Qn,2,"86019-7,86020-5",NA|NA
Streptococcus pneumoniae Danish serotype 19F Ab.IgG,Ser,Qn,4,"86021-3,86022-1,86023-9,86024-7",IA|NA|IA|NA
Streptococcus pneumoniae Danish serotype 19F Ab.IgG^1st specimen,Ser,Qn,3,"86025-4,86026-2,86027-0",NA|NA|IA
Streptococcus pneumoniae Danish serotype 19F Ab.IgG^2nd specimen,Ser,Qn,3,"86028-8,86029-6,86030-4",NA|NA|IA
Streptococcus pneumoniae Danish serotype 19F Ab^1st specimen,Ser,Qn,3,"86032-0,86033-8,86034-6",IA|NA|NA
Streptococcus pneumoniae Danish serotype 19F Ab^2nd specimen,Ser,Qn,3,"86035-3,86036-1,86037-9",IA|NA|NA
Streptococcus pneumoniae Danish serotype 2 Ab.IgG,Ser,Qn,2,"86038-7,86039-5",IA|NA
Streptococcus pneumoniae Danish serotype 2 Ab.IgG^1st specimen,Ser,Qn,2,"86040-3,86041-1",IA|NA
Streptococcus pneumoniae Danish serotype 2 Ab.IgG^2nd specimen,Ser,Qn,2,"86042-9,86043-7",IA|NA
Streptococcus pneumoniae Danish serotype 20A Ab.IgG,Ser,Qn,2,"86045-2,86046-0",NA|IA
Streptococcus pneumoniae Danish serotype 20A Ab.IgG^1st specimen,Ser,Qn,2,"86047-8,86048-6",NA|IA
Streptococcus pneumoniae Danish serotype 20A Ab.IgG^2nd specimen,Ser,Qn,2,"86049-4,86050-2",NA|IA
Streptococcus pneumoniae Danish serotype 22F Ab.IgG,Ser,Qn,2,"86052-8,86053-6",NA|IA
Streptococcus pneumoniae Danish serotype 22F Ab.IgG^1st specimen,Ser,Qn,2,"86054-4,86055-1",NA|IA
Streptococcus pneumoniae Danish serotype 22F Ab.IgG^2nd specimen,Ser,Qn,2,"86056-9,86057-7",NA|IA
Streptococcus pneumoniae Danish serotype 23F Ab,Ser,Qn,2,"86059-3,86060-1",NA|NA
Streptococcus pneumoniae Danish serotype 23F Ab.IgG,Ser,Qn,4,"86061-9,86062-7,86063-5,86064-3",IA|NA|IA|NA
Streptococcus pneumoniae Danish serotype 23F Ab.IgG^1st specimen,Ser,Qn,3,"86065-0,86066-8,86067-6",NA|NA|IA
Streptococcus pneumoniae Danish serotype 23F Ab.IgG^2nd specimen,Ser,Qn,3,"86068-4,86069-2,86070-0",NA|NA|IA
Streptococcus pneumoniae Danish serotype 23F Ab^1st specimen,Ser,Qn,3,"86072-6,86073-4,86074-2",IA|NA|NA
Streptococcus pneumoniae Danish serotype 23F Ab^2nd specimen,Ser,Qn,3,"86075-9,86076-7,86077-5",IA|NA|NA
Streptococcus pneumoniae Danish serotype 3 Ab,Ser,Qn,2,"86078-3,86079-1",NA|NA
Streptococcus pneumoniae Danish serotype 3 Ab.IgG,Ser,Qn,4,"86080-9,86081-7,86082-5,86083-3",NA|IA|NA|IA
Streptococcus pneumoniae Danish serotype 3 Ab.IgG^1st specimen,Ser,Qn,3,"86084-1,86085-8,86086-6",IA|NA|NA
Streptococcus pneumoniae Danish serotype 3 Ab.IgG^2nd specimen,Ser,Qn,3,"86087-4,86088-2,86089-0",IA|NA|NA
Streptococcus pneumoniae Danish serotype 3 Ab^1st specimen,Ser,Qn,3,"86091-6,86092-4,86093-2",NA|IA|NA
Streptococcus pneumoniae Danish serotype 3 Ab^2nd specimen,Ser,Qn,3,"86094-0,86095-7,86096-5",NA|IA|NA
Streptococcus pneumoniae Danish serotype 33F Ab.IgG,Ser,Qn,2,"40969-8,47349-6",NA|IA
Streptococcus pneumoniae Danish serotype 33F Ab.IgG^1st specimen,Ser,Qn,2,"47351-2,47509-5",IA|NA
Streptococcus pneumoniae Danish serotype 33F Ab.IgG^2nd specimen,Ser,Qn,2,"47352-0,47510-3",IA|NA
Streptococcus pneumoniae Danish serotype 4 Ab,Ser,Qn,2,"86105-4,86106-2",NA|NA
Streptococcus pneumoniae Danish serotype 4 Ab.IgG,Ser,Qn,4,"86107-0,86108-8,86109-6,86110-4",NA|IA|NA|IA
Streptococcus pneumoniae Danish serotype 4 Ab.IgG^1st specimen,Ser,Qn,3,"86111-2,86112-0,86113-8",IA|NA|NA
Streptococcus pneumoniae Danish serotype 4 Ab.IgG^2nd specimen,Ser,Qn,3,"86114-6,86115-3,86116-1",IA|NA|NA
Streptococcus pneumoniae Danish serotype 4 Ab^1st specimen,Ser,Qn,2,"86118-7,86119-5",NA|NA
Streptococcus pneumoniae Danish serotype 4 Ab^2nd specimen,Ser,Qn,2,"86120-3,86121-1",NA|NA
Streptococcus pneumoniae Danish serotype 5 Ab.IgG,Ser,Qn,2,"86129-4,86130-2",IA|NA
Streptococcus pneumoniae Danish serotype 5 Ab.IgG^1st specimen,Ser,Qn,2,"86131-0,86132-8",IA|NA
Streptococcus pneumoniae Danish serotype 5 Ab.IgG^2nd specimen,Ser,Qn,2,"86133-6,86134-4",IA|NA
Streptococcus pneumoniae Danish serotype 6A Ab.IgG,Ser,Qn,3,"86136-9,86137-7,86138-5",NA|NA|IA
Streptococcus pneumoniae Danish serotype 6A Ab^2nd specimen,Ser,Qn,2,"86139-3,86140-1",NA|NA
Streptococcus pneumoniae Danish serotype 6A+6B Ab,Ser,Qn,2,"86338-1,86342-3",NA|NA
Streptococcus pneumoniae Danish serotype 6A+6B Ab^1st specimen,Ser,Qn,2,"86341-5,86343-1",NA|NA
Streptococcus pneumoniae Danish serotype 6A+6B IgG Ab,Ser,Qn,2,"86339-9,86340-7",NA|IA
Streptococcus pneumoniae Danish serotype 6B Ab,Ser,Qn,2,"13133-4,34172-7",NA|NA
Streptococcus pneumoniae Danish serotype 6B Ab.IgG,Ser,Qn,3,"25295-7,27118-9,40905-2",NA|NA|IA
Streptococcus pneumoniae Danish serotype 6B Ab.IgG^1st specimen,Ser,Qn,3,"25279-1,30498-0,40906-0",NA|NA|IA
Streptococcus pneumoniae Danish serotype 6B Ab.IgG^2nd specimen,Ser,Qn,3,"30499-8,31639-8,40907-8",NA|NA|IA
Streptococcus pneumoniae Danish serotype 7A Ab.IgG,Ser,Qn,2,"86141-9,86142-7",NA|IA
Streptococcus pneumoniae Danish serotype 7F Ab,Ser,Qn,2,"13167-2,26754-2",NA|NA
Streptococcus pneumoniae Danish serotype 7F Ab.IgG,Ser,Qn,4,"22552-4,25296-5,40911-0,8028-3",NA|NA|IA|IA
Streptococcus pneumoniae Danish serotype 7F Ab.IgG^1st specimen,Ser,Qn,3,"27433-2,30501-1,31645-5",IA|NA|NA
Streptococcus pneumoniae Danish serotype 7F Ab.IgG^2nd specimen,Ser,Qn,3,"27427-4,30502-9,31646-3",IA|NA|NA
Streptococcus pneumoniae Danish serotype 7F Ab^1st specimen,Ser,Qn,3,"13147-4,17638-8,27150-2",NA|IA|NA
Streptococcus pneumoniae Danish serotype 7F Ab^2nd specimen,Ser,Qn,3,"13148-2,17639-6,27120-5",NA|IA|NA
Streptococcus pneumoniae Danish serotype 7F Ab^2nd specimen/1st specimen,Ser,Qn,2,"17640-4,22555-7",IA|NA
Streptococcus pneumoniae Danish serotype 8 Ab,Ser,Ord,2,"86143-5,86144-3",NA|IA
Streptococcus pneumoniae Danish serotype 8 Ab,Ser,Qn,2,"86145-0,86146-8",NA|NA
Streptococcus pneumoniae Danish serotype 8 Ab.IgG,Ser,Qn,4,"86147-6,86148-4,86149-2,86150-0",NA|IA|NA|IA
Streptococcus pneumoniae Danish serotype 8 Ab.IgG^1st specimen,Ser,Qn,3,"86151-8,86152-6,86153-4",IA|NA|NA
Streptococcus pneumoniae Danish serotype 8 Ab.IgG^2nd specimen,Ser,Qn,3,"86154-2,86155-9,86156-7",IA|NA|NA
Streptococcus pneumoniae Danish serotype 8 Ab^1st specimen,Ser,Qn,2,"86158-3,86159-1",NA|NA
Streptococcus pneumoniae Danish serotype 8 Ab^2nd specimen,Ser,Qn,2,"86160-9,86161-7",NA|NA
Streptococcus pneumoniae Danish serotype 9N Ab,Ser,Ord,2,"86162-5,86165-8",IA|NA
Streptococcus pneumoniae Danish serotype 9N Ab,Ser,Qn,2,"86163-3,86164-1",NA|NA
Streptococcus pneumoniae Danish serotype 9N Ab.IgG,Ser,Qn,4,"86166-6,86167-4,86168-2,86169-0",IA|NA|IA|NA
Streptococcus pneumoniae Danish serotype 9N Ab.IgG^1st specimen,Ser,Qn,3,"86170-8,86171-6,86172-4",NA|NA|IA
Streptococcus pneumoniae Danish serotype 9N Ab.IgG^2nd specimen,Ser,Qn,3,"86173-2,86174-0,86175-7",NA|NA|IA
Streptococcus pneumoniae Danish serotype 9N Ab^1st specimen,Ser,Qn,3,"86177-3,86178-1,86179-9",IA|NA|NA
Streptococcus pneumoniae Danish serotype 9N Ab^1st specimen/2nd specimen,Ser,Qn,2,"86180-7,86181-5",NA|IA
Streptococcus pneumoniae Danish serotype 9N Ab^2nd specimen,Ser,Qn,3,"86182-3,86183-1,86184-9",IA|NA|NA
Streptococcus pneumoniae Danish serotype 9V Ab.IgG,Ser,Qn,3,"30153-1,31650-5,40926-8",NA|NA|IA
Streptococcus pneumoniae Danish serotype 9V Ab.IgG^1st specimen,Ser,Qn,2,"40918-5,47506-1",IA|NA
Streptococcus pneumoniae Danish serotype 9V Ab.IgG^2nd specimen,Ser,Qn,2,"40919-3,47507-9",IA|NA
Streptococcus pneumoniae Danish serotype 9V Ab.IgG^2nd specimen/1st specimen,Ser,Qn,2,"47037-7,47508-7",IA|NA
Streptococcus pneumoniae DNA,Bld.pos growth,Ord,2,"85768-0,92771-5",Non-probe.amp.tar|Probe.amp.tar
Streptococcus pneumoniae group B Ab,Ser,Ord,2,"17654-5,22565-6",EIA|NA
Streptococcus pneumoniae group B Ag,CSF,Ord,2,"29319-1,29361-3",LA|NA
Streptococcus pneumoniae group B Ag,Ser,Ord,2,"29318-3,29362-1",LA|NA
Streptococcus pneumoniae group B Ag,Urine,Ord,3,"17655-2,29320-9,29360-5",IF|LA|NA
Streptococcus pneumoniae gryB gene,Bld.pos growth,Ord,2,"74737-8,88275-3",Probe.mag capture|Probe
Streptococcus pneumoniae serotype,Isolate,Nom,2,"73674-4,88722-4",Aggl|NA
Streptococcus pyogenes Ag,Ser,Ord,2,"11269-8,31970-7",Aggl|NA
Streptococcus pyogenes Ag,Thrt,Ord,4,"18481-2,6556-5,6557-3,78012-2",NA|EIA|IF|IA.rapid
Streptococcus pyogenes Ag,XXX,Ord,3,"31971-5,6558-1,6559-9",NA|IA|IF
Streptococcus pyogenes DNA,Bld.pos growth,Ord,2,"85769-8,92770-7",Non-probe.amp.tar|Probe.amp.tar
Streptococcus pyogenes enzyme Ab,Ser,Ord,3,"12259-8,22566-4,5172-2",Sheep cell aggl|NA|LA
Streptococcus pyogenes enzyme Ab,Ser,Qn,3,"22567-2,31658-8,5173-0",NA|NA|LA
Streptococcus pyogenes hsp60 gene,Bld.pos growth,Ord,2,"74736-0,88276-1",Probe.mag capture|Probe
Streptococcus sp DNA,Bld.pos growth,Ord,2,"85766-4,92774-9",Non-probe.amp.tar|Probe.amp.tar
Streptococcus sp identified,Isolate,Nom,2,"43389-6,43390-4",Organism specific culture|NA
Streptococcus sp tuf gene,Bld.pos growth,Ord,2,"74740-2,88277-9",Probe.mag capture|Probe
Streptokinase Ab,Ser,Qn,2,"34375-6,5369-4",NA|NA
Streptolysin O Ab,Ser,Qn,4,"22568-0,25788-1,45228-4,5371-0",NA|LA|NA|LA
Streptomycin,Isolate,OrdQn,6,"18982-9,20462-8,23626-5,460-6,461-4,7048-2",NA|Method for Slow-growing mycobacteria|Slow-growing Mycobacteria|MIC|Agar diffusion|Gradient strip
Streptomycin 10.0 ug/mL,Isolate,OrdQn,2,"25206-4,42658-5",Method for Slow-growing mycobacteria|Slow-growing Mycobacteria
Streptomycin 2.0 ug/mL,Isolate,OrdQn,2,"25205-6,42659-3",Method for Slow-growing mycobacteria|Slow-growing Mycobacteria
Streptomycin.high potency,Isolate,OrdQn,4,"18983-7,35841-6,6933-6,7049-0",NA|Gradient strip|MIC|Agar diffusion
Striated muscle Ab,Ser,Ord,2,"13931-1,57744-5",NA|IF
Striated muscle Ab,Ser,Qn,3,"31659-6,5372-8,8097-8",NA|IF|NA
Striated muscle Ab.IgG,Ser,Qn,3,"29998-2,31660-4,42217-0",IF|NA|NA
Stroke volume,Heart.ventricle.left,Qn,28,"20323-2,20324-0,20325-7,20326-5,20327-3,20328-1,20329-9,20330-7,20333-1,20335-6,20336-4,20562-5,76558-6,76559-4,76560-2,76561-0,76562-8,76563-6,80035-9,8765-0,8766-8,8767-6,8768-4,8769-2,8770-0,8771-8,8772-6,8773-4",US.2D+Calculated|US.2D.aortic root.calculated|US.2D+Calculated by biplane ellipse method|US.2D+Calculated by bullet method|US.cubed.calculated|US.2D.LVOT area.calculated|US.2D.mod.biplane ellipse.calculated|US.2D+Calculated by modified Simpson method|US.2D.mitral valve flow area.calculated|US.2D+Calculated by single-plane ellipse method|US.Teicholz.calculated|NA|US.M-mode+Calculated by cube method|US.2D+Calculated by cube method|US.M-mode+Calculated by Teichholz method|US.2D+Calculated by Teichholz method|US.M-mode+Calculated by Gibson method|US.2D+Calculated by Gibson method|US.3D.segmentation|2D echo|Angiography.biplane|Angiography.single plane|CT spiral|US.doppler|Fick|Indicator dilution|MR|Nuclear.blood pool
Stroke volume,Heart.ventricle.right,Qn,12,"20334-9,20337-2,81389-9,8775-9,8776-7,8777-5,8778-3,8779-1,8780-9,8781-7,8782-5,8783-3",US.2D.pulmonic valve flow area.calculated|US.2D.tricuspid valve.calculated|US.continuity.VTI+Diameter|2D echo|Angiography.biplane|Angiography.single plane|CT spiral|US.doppler|Fick|Indicator dilution|MR|Nuclear.blood pool
Stroke volume/Body surface area,Heart.ventricle.left,Qn,23,"20308-3,20309-1,20310-9,20311-7,20312-5,20313-3,20314-1,20315-8,20318-2,20319-0,20320-8,20321-6,20322-4,76297-1,8785-8,8786-6,8787-4,8788-2,8789-0,8790-8,8791-6,8792-4,8793-2",US.2D+Calculated|US.2D.aortic root.calculated|US.2D+Calculated by biplane ellipse method|US.2D+Calculated by bullet method|US.cubed.calculated|US.2D.LVOT area.calculated|US.2D.mod.biplane ellipse.calculated|US.modified Simpson.calculated|US.2D.mitral valve.calculated|US.2D.pulmonic valve flow area.calculated|US.2D+Calculated by single-plane ellipse method|US.Teicholz|US.2D.tricuspid valve.calculated|NA|2D echo|Angiography.biplane|Angiography.single plane|CT spiral|US.doppler|Fick|Indicator dilution|MR|Nuclear.blood pool
Stroke volume/Body surface area,Heart.ventricle.right,Qn,10,"8795-7,8796-5,8797-3,8798-1,8799-9,8800-5,8801-3,8802-1,8803-9,8804-7",2D echo|Angiography.biplane|Angiography.single plane|CT spiral|US.doppler|Fick|Indicator dilution|MR|Nuclear.blood pool|Nuclear.myocardial
Strongyloides sp Ab,Ser,Qn,3,"10718-5,5373-6,8034-1",IA|HA|NA
Strongyloides sp Ab.IgG,Ser,Qn,2,"34376-4,41125-6",IA|NA
Strongyloides stercoralis Ab.IgG,Ser,Ord,2,"6632-4,8035-8",IA|NA
Strontium,Hair,Qn,2,"50913-3,76647-7",NA|NA
Strontium,Urine,Qn,5,"12705-0,29971-9,29972-7,50914-1,50915-8",NA|NA|NA|NA|NA
Strontium/Creatinine,Urine,Qn,4,"17658-6,29973-5,52921-4,52922-2",NA|NA|NA|NA
Structural variant,^Patient,Nom,2,"81286-7,81289-1",NA|NA
Strychnine,Gast fld,Qn,2,"14101-0,59970-4",NA|NA
Strychnine,Ser/Plas,Qn,3,"17659-4,5738-0,59968-8",NA|NA|NA
Strychnine,Urine,Qn,4,"17660-2,5740-6,5741-4,59969-6",NA|NA|NA|NA
Strychnine,XXX,Qn,2,"23780-0,57872-4",NA|NA
Study,XXX,Doc,3,"18747-6,18758-3,18760-9",CT|PET scan|US
Study observation,Cervix,Nom,3,"12044-4,12045-1,12046-9",Inspection|Palpation|US
Study observation,Esophagus,Nar,2,"28012-3,51393-7",Esophagoscopy|Manometry
Study observation,Rectum+Colon,Nar,3,"28022-2,28024-8,28026-3",Colonoscopy|Proctosigmoidoscopy.rigid|Flexible sigmoidoscopy
Study observation,Rectum+Colon,Nom,3,"28023-0,28025-5,28027-1",Colonoscopy|Proctosigmoidoscopy.rigid|Flexible sigmoidoscopy
Study observation,Small bowel,Nar,2,"28018-0,28020-6",Enteroscopy|Enteroscopy.thru stoma
Study observation,Small bowel,Nom,2,"28019-8,28021-4",Enteroscopy|Enteroscopy.thru stoma
Study observation,XXX,Nar,2,"12126-9,18782-3",US|Radiology
Study observation.general,^Fetus,Nar,3,"12130-1,49508-5,76514-9",US|US.doppler|Diagnostic imaging
Study report,^Patient,Doc,8,"11526-1,11527-9,11529-5,18752-6,28633-6,29755-6,55228-1,58477-1",Pathology|Psychiatry|Surgical pathology|Exercise stress test|Polysomnography|Nerve conduction|Cytogenetics|Pulmonary function
Study report,Cvx/Vag,Doc,2,"29757-2,33717-0",Colposcopy|Cytology
Study report,Heart,Doc,5,"11522-0,11524-6,18745-0,18750-0,18754-2",Cardiac echo|EKG|Cardiac catheterization|Electrophysiology|Holter monitor
Study report,Lower GI tract,Doc,2,"18746-8,18753-4",Colonoscopy|Flexible sigmoidoscopy
Study report,Neurologic system,Doc,2,"76641-0,77199-8",Neurology|Evoked potential
Study report,Respiratory system,Doc,2,"18744-3,18759-1",Bronchoscopy|Spirometry
Study report,XXX,Doc,8,"18742-7,18748-4,18749-2,18755-9,18757-5,29754-9,33716-2,33719-6",Arthroscopy|Diagnostic imaging|Electromyogram|MRI|Radnuc|Nystagmogram|Cytology.non-gyn|Flow cytometry
Suberate/Creatinine,Urine,Qn,3,"13810-7,25135-5,44408-3",NA|NA|NA
Suberylcarnitine (C8-DC),Ser/Plas,Qn,2,"18453-1,39014-6",NA|NA
Suberylglycine/Creatinine,Urine,Qn,2,"13811-5,24443-4",NA|NA
Subsequent evaluation note,{Setting},Doc,2,"18762-5,18764-1",Chiropractor|Nurse practitioner
Subsequent visit evaluation note,{Setting},Doc,4,"11542-8,18741-9,18765-8,18766-6",{Provider}|Attending physician|Podiatry|Psychology
Subtelomere analysis,Bld/Tiss,Nom,2,"49039-1,58454-0",FISH|Molgen
Succinate/Creatinine,Urine,Qn,3,"13812-3,25136-3,44409-1",NA|NA|NA
Succinylacetone,Bld.dot,Qn,2,"42677-5,53231-7",NA|NA
Succinylacetone/Creatinine,Urine,Qn,2,"13813-1,25137-1",NA|NA
Succinylpurines,Urine,Ord,2,"17662-8,32282-6",NA|NA
Sucrose intake,^Patient,Qn,2,"81049-9,81050-7",Estimated|Measured
Suicide risk,^Patient,Qn,2,"89559-9,89560-7",CUBS|CUBS
Sulbactam,Isolate,OrdQn,4,"41716-2,41717-0,41718-8,41739-4",Agar diffusion|Gradient strip|MIC|NA
Sulfachloropyridazine,Isolate,OrdQn,2,"87802-5,87804-1",NA|MIC
sulfADIAZINE,Isolate,OrdQn,4,"18984-5,464-8,465-5,7050-8",NA|MIC|Agar diffusion|Gradient strip
Sulfadimethoxine,Isolate,OrdQn,2,"87799-3,87803-3",MIC|NA
Sulfamethoxazole,Isolate,OrdQn,4,"11577-4,18985-2,468-9,469-7",Gradient strip|NA|MIC|Agar diffusion
Sulfamethoxazole,Ser/Plas,Qn,2,"10342-4,39772-9",NA|NA
Sulfamethoxazole,XXX,Qn,2,"25271-8,60333-2",NA|NA
Sulfapyridine,Ser/Plas,Qn,2,"14075-6,55580-5",NA|NA
sulfaSALAzine,Ser/Plas,Qn,2,"12390-1,55581-3",NA|NA
Sulfate,Urine,Qn,7,"12920-5,26888-8,26889-6,2975-1,39576-4,43754-1,47780-2",NA|NA|NA|NA|NA|NA|NA
Sulfate-3-glucuronyl paragloboside Ab,Ser,Qn,2,"31162-1,31662-0",NA|NA
Sulfate intake,^Patient,Qn,2,"81947-4,81948-2",Measured|Estimated
Sulfate.inorganic,Ser/Plas,Qn,2,"2976-9,39560-8",NA|NA
Sulfathiazole,Isolate,OrdQn,2,"87796-9,87797-7",MIC|NA
Sulfatide Ab,Ser,Ord,2,"31667-9,82445-8",NA|Line blot
Sulfatide Ab.IgG,Ser,Ord,4,"27894-5,31670-3,82446-6,89500-3",IA|NA|IB|Line blot
Sulfatide Ab.IgG,Ser,Qn,4,"10866-2,17668-5,17669-3,31669-5",NA|IF|IA|NA
Sulfatide Ab.IgM,Ser,Ord,2,"44753-2,82447-4",NA|Line blot
Sulfatide Ab.IgM,Ser,Qn,4,"10867-0,17670-1,17671-9,31671-1",NA|IF|IA|NA
Sulfisoxazole,Isolate,OrdQn,4,"11578-2,18986-0,472-1,473-9",Gradient strip|NA|MIC|Agar diffusion
Sulfocysteine/Creatinine,Urine,Qn,2,"33876-4,34168-5",NA|NA
Sulfonamide,Dose,Qn,2,"4433-9,4434-7",NA|NA
Sulfonamide,Isolate,OrdQn,4,"18987-8,35842-4,476-2,477-0",NA|Gradient strip|MIC|Agar diffusion
Sulfonamide,Isolate,Qn,2,"475-4,478-8",MLC|SBT
Sulfonamide,Ser/Plas,Qn,3,"17674-3,4040-2,75650-2",NA|NA|NA
Sulfonamide,Urine,Qn,2,"17675-0,4042-8",NA|NA
Sulfonamide crystals,Urine sed,Qn,2,"40836-9,53118-6",Microscopy.light.LPF|Microscopy.light.HPF
Sulfur,XXX,Qn,2,"87449-5,87450-3",NA|NA
Sulopenem,Isolate,OrdQn,3,"55289-3,55290-1,55291-9",NA|MIC|Agar diffusion
Sulthiame,Ser/Plas,Qn,2,"33961-4,34377-2",NA|NA
Summary note,{Setting},Doc,10,"61143-4,68602-2,68608-9,77436-4,77962-9,78512-1,83836-7,87236-6,89470-9,89471-7",Nurse|Radiation oncology|{Role}|Anesthesiology|Obstetrics and Gynecology|Ophthalmology|Dentistry|Dialysis|Obstetrics|Gynecology
Summary note,Telehealth,Doc,2,"75498-6,84069-4",{Role}|Multi-specialty program
Summary of death note,{Setting},Doc,3,"47046-8,83796-3,84273-2",{Role}|Physician|Nurse
Summary registry report,{Setting},Doc,4,"74198-3,74264-3,75219-6,78005-6",Trauma|HIV|{Role}|Physical therapy
Supervisory note,Outpatient,Doc,4,"34134-7,34135-4,34136-2,67865-6",Attending|Cardiovascular disease.attending|Gastroenterology.attending|{Role}
Support,{Dental arch}.denture.complete,Ord,2,"32987-0,32989-6",Observed|Reported
Support,{Dental arch}.denture.partial,Ord,2,"32988-8,32990-4",Observed|Reported
